날짜,오늘(01/12),,,,,내일(01/13),,,,
시간,발전량,누적발전량,일사량,기온,풍속,발전량,누적발전량,일사량,기온,풍속
,(kW),(kWh),(W/㎡),(℃),(㎧),(kW),(kWh),(W/㎡),(℃),(㎧)
0시,0,0,0,9.7,0.4,0,0,0,15.5,0.1
1시,0,0,0,9.8,0.7,0,0,0,15.4,0.2
2시,0,0,0,10.2,1,0,0,0,15.5,0.1
3시,0,0,0,8.7,1.1,0,0,0,15.9,0.1
4시,0,0,0,10.4,1.4,0,0,0,15.6,0.1
5시,0,0,0,10.7,1.3,0,0,0,15.7,0.1
6시,0,0,0,11,1.4,0,0,0,16.1,0.1
7시,0,0,0,11.3,1.3,0,0,0,16.2,0.1
8시,0,0,7.3,11.9,0.9,0,0,0.1,16.5,0.1
9시,22.65,22.65,137,14.1,0.5,0.81,0.81,1.3,16.5,0.1
10시,43.04,65.69,300.8,15.7,0.5,2.14,2.95,2.8,16.6,0.1
11시,59.64,125.33,388.3,16.2,0.5,3.95,6.9,12,15.6,0.1
12시,63.41,188.74,469.8,16.2,0.6,5.82,12.72,17.2,15.3,0.1
13시,36.64,225.38,173,15,0.2,12.81,25.53,70.3,15.9,0.1
14시,16.38,241.76,45.4,13.1,0.1,15.86,41.39,200.9,16.5,0.1
15시,6,247.76,32.2,13,0.1,14.3,55.69,181.9,17.3,0.1
16시,4.85,252.61,25.7,13.4,0.3,8.52,64.21,66.1,17.8,0.1
17시,3.02,255.63,15.6,13.3,0.2,4.85,69.06,28.2,17.3,0.6
18시,0.84,256.47,3.4,12.9,0.1,0.96,70.02,4.7,15.9,0.5
19시,0,256.47,0,13.2,0.1,0,70.02,0,16.3,0.4
20시,0,256.47,0,13.8,1.2,0,70.02,0,16.2,0.2
21시,0,256.47,0,14,0.6,0,70.02,0,16.6,0.1
22시,0,256.47,0,14.4,0.2,0,70.02,0,16,0.4
23시,0,256.47,0,14.9,0.5,0,70.02,0,15.4,0.1
